Pre-processamento,Algoritmo,Acuracia,Acuracia_dp,Precisao,Recall,F-Measure,Tempo de treino (s)
P1 - sem normalizacao,Arvore de Decisao,0.8958202647487541,0.009542207500951758,0.9109543945101628,0.9103029575950103,0.9104132821624858,0.19599101543426514
P2 - com padronizacao,Arvore de Decisao,0.8958202647487541,0.009542207500951758,0.9109543945101628,0.9103029575950103,0.9104132821624858,0.20160155296325682
P1 - sem normalizacao,KNN (k=5),0.7342591663510787,0.006281758385851632,0.7434733735880716,0.7303832463255968,0.7343885804614788,0.005063748359680176
P2 - com padronizacao,KNN (k=5),0.9232980090436224,0.006174739065212301,0.9373559536678098,0.9342259959678705,0.9356026552159724,0.005090165138244629
P1 - sem normalizacao,Random Forest,0.9258699712248379,0.006981769063867326,0.9385742918714486,0.9349238966702064,0.9365211141360966,3.2915234088897707
P2 - com padronizacao,Random Forest,0.9260169219963295,0.007169328852214707,0.9386987568048571,0.935120893878415,0.9366957703169035,3.321620297431946
